Steering Angle mean,max,Lateral Position mean,max,Heading Angle mean,max,Utility Function mean, max
0.1665,0.8043,0.4987,1.0517,2.2792,2.7521,0.3864,1.0510
0.1665,0.8043,0.4987,1.0517,2.2792,2.7521,0.3864,1.0510
0.0093,0.0212,0.0620,0.0978,0.0070,0.0174,0.0033,0.0116
