v, omega, x, y, phi, xr, yr, phir, delta
-0.0558,-0.0413,11.1596,0.9360,0.0592,11.3000,0.9044,0.0426,-0.0225
-0.0562,-0.0416,11.2595,0.9408,0.0584,11.4000,0.9086,0.0417,-0.0227
-0.0567,-0.0419,11.3594,0.9455,0.0576,11.5000,0.9128,0.0408,-0.0228
-0.0571,-0.0422,11.4593,0.9501,0.0568,11.6000,0.9168,0.0399,-0.0230
-0.0575,-0.0425,11.5592,0.9547,0.0559,11.7000,0.9208,0.0390,-0.0231
-0.0579,-0.0428,11.6591,0.9591,0.0551,11.8000,0.9246,0.0381,-0.0233
-0.0583,-0.0431,11.7591,0.9634,0.0542,11.9000,0.9284,0.0371,-0.0234
-0.0587,-0.0434,11.8590,0.9677,0.0533,12.0000,0.9320,0.0362,-0.0236
-0.0590,-0.0437,11.9589,0.9719,0.0525,12.1000,0.9356,0.0353,-0.0237
-0.0594,-0.0440,12.0588,0.9759,0.0516,12.2000,0.9391,0.0344,-0.0239
-0.0598,-0.0442,12.1587,0.9799,0.0507,12.3000,0.9425,0.0334,-0.0240
-0.0602,-0.0445,12.2587,0.9838,0.0498,12.4000,0.9458,0.0325,-0.0242
-0.0605,-0.0448,12.3586,0.9875,0.0489,12.5000,0.9490,0.0315,-0.0243
-0.0609,-0.0450,12.4585,0.9912,0.0480,12.6000,0.9521,0.0306,-0.0244
-0.0612,-0.0453,12.5585,0.9948,0.0471,12.7000,0.9551,0.0296,-0.0246
-0.0616,-0.0455,12.6584,0.9983,0.0462,12.8000,0.9580,0.0287,-0.0247
-0.0619,-0.0458,12.7584,1.0017,0.0453,12.9000,0.9608,0.0277,-0.0248
-0.0622,-0.0460,12.8583,1.0050,0.0444,13.0000,0.9636,0.0267,-0.0249
-0.0625,-0.0463,12.9583,1.0082,0.0435,13.1000,0.9662,0.0258,-0.0251
-0.0628,-0.0465,13.0583,1.0113,0.0426,13.2000,0.9687,0.0248,-0.0252
-0.0632,-0.0467,13.1582,1.0143,0.0416,13.3000,0.9711,0.0238,-0.0253
-0.0635,-0.0470,13.2582,1.0172,0.0407,13.4000,0.9735,0.0229,-0.0254
-0.0637,-0.0472,13.3582,1.0200,0.0398,13.5000,0.9757,0.0219,-0.0255
-0.0640,-0.0474,13.4581,1.0227,0.0388,13.6000,0.9779,0.0209,-0.0256
-0.0643,-0.0476,13.5581,1.0253,0.0379,13.7000,0.9799,0.0199,-0.0257
-0.0646,-0.0478,13.6581,1.0278,0.0369,13.8000,0.9819,0.0190,-0.0258
-0.0649,-0.0480,13.7581,1.0302,0.0360,13.9000,0.9837,0.0180,-0.0259
-0.0651,-0.0482,13.8580,1.0325,0.0350,14.0000,0.9855,0.0170,-0.0260
-0.0654,-0.0484,13.9580,1.0347,0.0340,14.1000,0.9871,0.0160,-0.0261
-0.0656,-0.0486,14.0580,1.0368,0.0331,14.2000,0.9887,0.0150,-0.0262
-0.0658,-0.0487,14.1580,1.0388,0.0321,14.3000,0.9901,0.0140,-0.0263
-0.0661,-0.0489,14.2580,1.0407,0.0311,14.4000,0.9915,0.0130,-0.0264
-0.0663,-0.0491,14.3580,1.0425,0.0302,14.5000,0.9927,0.0120,-0.0265
-0.0665,-0.0492,14.4580,1.0442,0.0292,14.6000,0.9939,0.0111,-0.0265
-0.0667,-0.0494,14.5580,1.0457,0.0282,14.7000,0.9949,0.0101,-0.0266
-0.0669,-0.0495,14.6580,1.0472,0.0272,14.8000,0.9959,0.0091,-0.0267
-0.0671,-0.0497,14.7580,1.0486,0.0262,14.9000,0.9967,0.0081,-0.0268
-0.0673,-0.0498,14.8580,1.0499,0.0252,15.0000,0.9975,0.0071,-0.0268
-0.0675,-0.0500,14.9580,1.0511,0.0242,15.1000,0.9982,0.0061,-0.0269
-0.0677,-0.0501,15.0580,1.0521,0.0232,15.2000,0.9987,0.0051,-0.0270
-0.0678,-0.0502,15.1580,1.0531,0.0222,15.3000,0.9992,0.0041,-0.0270
-0.0680,-0.0503,15.2580,1.0540,0.0212,15.4000,0.9995,0.0031,-0.0271
-0.0682,-0.0505,15.3580,1.0547,0.0202,15.5000,0.9998,0.0021,-0.0271
-0.0683,-0.0506,15.4580,1.0554,0.0192,15.6000,0.9999,0.0011,-0.0272
-0.0684,-0.0507,15.5580,1.0559,0.0182,15.7000,1.0000,0.0001,-0.0272
-0.0686,-0.0508,15.6580,1.0564,0.0172,15.8000,1.0000,-0.0009,-0.0273
-0.0687,-0.0509,15.7580,1.0567,0.0162,15.9000,0.9998,-0.0019,-0.0273
-0.0688,-0.0510,15.8580,1.0570,0.0151,16.0000,0.9996,-0.0029,-0.0274
-0.0689,-0.0510,15.9580,1.0571,0.0141,16.1000,0.9992,-0.0039,-0.0274
-0.0690,-0.0511,16.0581,1.0571,0.0131,16.2000,0.9988,-0.0049,-0.0274
-0.0691,-0.0512,16.1581,1.0571,0.0121,16.3000,0.9982,-0.0059,-0.0275
-0.0692,-0.0512,16.2581,1.0569,0.0111,16.4000,0.9976,-0.0069,-0.0275
-0.0693,-0.0513,16.3581,1.0566,0.0100,16.5000,0.9969,-0.0079,-0.0275
-0.0694,-0.0514,16.4581,1.0562,0.0090,16.6000,0.9960,-0.0089,-0.0275
-0.0694,-0.0514,16.5581,1.0558,0.0080,16.7000,0.9951,-0.0099,-0.0276
-0.0695,-0.0515,16.6581,1.0552,0.0069,16.8000,0.9940,-0.0109,-0.0276
-0.0695,-0.0515,16.7581,1.0545,0.0059,16.9000,0.9929,-0.0119,-0.0276
-0.0696,-0.0515,16.8581,1.0537,0.0049,17.0000,0.9917,-0.0129,-0.0276
-0.0696,-0.0516,16.9581,1.0528,0.0039,17.1000,0.9903,-0.0139,-0.0276
-0.0697,-0.0516,17.0581,1.0518,0.0028,17.2000,0.9889,-0.0149,-0.0276
-0.0697,-0.0516,17.1581,1.0506,0.0018,17.3000,0.9874,-0.0159,-0.0276
-0.0697,-0.0516,17.2581,1.0494,0.0008,17.4000,0.9857,-0.0168,-0.0276
-0.0697,-0.0516,17.3581,1.0481,-0.0003,17.5000,0.9840,-0.0178,-0.0276
-0.0697,-0.0516,17.4581,1.0467,-0.0013,17.6000,0.9822,-0.0188,-0.0276
-0.0697,-0.0516,17.5581,1.0452,-0.0023,17.7000,0.9802,-0.0198,-0.0276
-0.0697,-0.0516,17.6581,1.0435,-0.0034,17.8000,0.9782,-0.0208,-0.0276
-0.0697,-0.0516,17.7581,1.0418,-0.0044,17.9000,0.9761,-0.0217,-0.0276
-0.0696,-0.0516,17.8581,1.0400,-0.0054,18.0000,0.9738,-0.0227,-0.0276
-0.0696,-0.0515,17.9581,1.0380,-0.0065,18.1000,0.9715,-0.0237,-0.0275
-0.0696,-0.0515,18.0581,1.0360,-0.0075,18.2000,0.9691,-0.0247,-0.0275
-0.0695,-0.0515,18.1581,1.0339,-0.0085,18.3000,0.9666,-0.0256,-0.0275
-0.0694,-0.0514,18.2581,1.0316,-0.0096,18.4000,0.9640,-0.0266,-0.0275
-0.0694,-0.0514,18.3581,1.0293,-0.0106,18.5000,0.9613,-0.0276,-0.0274
-0.0693,-0.0513,18.4580,1.0268,-0.0116,18.6000,0.9585,-0.0285,-0.0274
-0.0692,-0.0513,18.5580,1.0243,-0.0126,18.7000,0.9556,-0.0295,-0.0274
-0.0691,-0.0512,18.6580,1.0216,-0.0137,18.8000,0.9526,-0.0304,-0.0273
-0.0690,-0.0511,18.7580,1.0189,-0.0147,18.9000,0.9495,-0.0314,-0.0273
-0.0689,-0.0511,18.8579,1.0160,-0.0157,19.0000,0.9463,-0.0323,-0.0272
-0.0688,-0.0510,18.9579,1.0131,-0.0167,19.1000,0.9430,-0.0333,-0.0272
-0.0687,-0.0509,19.0579,1.0100,-0.0178,19.2000,0.9396,-0.0342,-0.0271
-0.0686,-0.0508,19.1578,1.0069,-0.0188,19.3000,0.9362,-0.0351,-0.0271
-0.0685,-0.0507,19.2578,1.0036,-0.0198,19.4000,0.9326,-0.0361,-0.0270
-0.0683,-0.0506,19.3577,1.0003,-0.0208,19.5000,0.9290,-0.0370,-0.0269
-0.0682,-0.0505,19.4577,0.9968,-0.0218,19.6000,0.9252,-0.0379,-0.0269
-0.0680,-0.0504,19.5576,0.9933,-0.0228,19.7000,0.9214,-0.0388,-0.0268
-0.0679,-0.0503,19.6576,0.9897,-0.0238,19.8000,0.9174,-0.0398,-0.0267
-0.0677,-0.0502,19.7575,0.9859,-0.0248,19.9000,0.9134,-0.0407,-0.0267
-0.0675,-0.0500,19.8574,0.9821,-0.0258,20.0000,0.9093,-0.0416,-0.0266
