valueLoss,policyLoss
25.4776,8.0210
26.5875,7.9096
29.5756,8.2614
22.3390,8.1853
19.1367,8.1137
23.9090,8.1837
36.0453,8.5416
38.3535,8.6375
33.6134,9.0945
30.0077,9.1211
31.6327,9.0947
25.0804,8.8397
32.5468,8.8278
30.5837,8.4220
31.0863,8.3610
40.2417,9.0285
34.4670,8.7932
29.8213,8.8063
28.9111,8.9735
28.1955,9.1145
21.4452,8.7811
37.3559,9.2733
32.6743,9.2022
25.1474,9.0668
18.0020,8.5218
20.4344,8.2034
28.8216,8.1585
26.3608,8.0799
22.8327,8.0819
22.4787,8.0562
28.8976,8.2215
34.9645,8.1389
31.4595,8.2619
21.8530,8.1702
27.6360,8.4332
21.9554,8.0395
21.9049,7.7419
24.7729,8.0195
24.5178,8.2611
21.4261,8.2582
17.5021,8.1703
22.3628,8.1918
22.4620,7.8944
21.7267,7.9483
16.6160,7.6596
15.5660,7.6481
11.9620,7.3961
22.6794,7.8322
26.9420,8.0684
30.0656,8.4360
32.0350,8.8323
26.6622,9.0992
18.3546,9.1990
27.0128,9.4421
21.0476,9.2748
16.4189,9.3598
15.6323,9.2100
10.1044,8.6934
16.2368,8.7199
26.0240,8.9815
19.9450,8.9358
18.4635,8.8375
13.1876,8.6841
20.6410,8.7504
13.8515,8.4563
18.5918,8.7384
12.8394,8.6402
7.5823,8.0791
6.8159,7.9039
5.5510,7.8513
5.9113,7.4624
7.9873,7.2271
7.9013,6.9555
10.0643,7.1894
9.9944,7.7148
9.1286,7.9671
6.9786,8.1263
11.6673,8.2775
8.5255,7.9543
7.3380,7.8303
8.2848,7.9749
5.6476,7.7911
3.4528,7.8576
3.0496,7.9325
2.2486,8.0921
1.9740,7.9337
1.6289,7.9845
1.7483,8.0243
1.2815,7.7824
0.6139,7.8623
0.7407,7.9988
0.9335,8.1215
1.0504,8.2285
0.8150,7.8661
1.0566,7.6311
0.9800,7.1327
1.2129,7.0833
1.3313,7.0467
1.4283,7.1968
1.0750,7.4110
1.2029,7.3861
1.3346,7.7157
0.8741,7.8005
0.8825,7.9831
1.1491,7.8294
0.9694,7.8474
0.5642,7.9309
0.5762,7.7588
0.5626,7.8821
0.5513,7.9352
0.5514,8.3124
0.4811,8.2084
0.4834,7.9232
0.5662,7.9302
0.5339,7.4255
0.3182,7.5096
0.6037,7.4661
0.7060,7.4449
0.4862,7.4465
0.4949,7.4724
0.4723,7.3619
0.4948,7.4633
0.3280,7.1266
0.3210,6.5595
0.2737,6.8126
0.2490,6.6412
0.3613,7.0350
0.4316,7.2029
0.3083,7.0368
0.2908,6.9269
0.3158,7.1241
0.4394,7.4085
0.5073,7.3310
0.2867,7.4208
0.2756,7.1314
0.3147,7.0705
0.2616,7.0695
0.2959,7.2825
0.2503,7.3266
0.3287,7.0889
0.2921,7.3523
0.1943,6.8123
0.2085,6.9821
0.1997,7.3084
