Steering Angle mean,max,Lateral Position mean,max,Heading Angle mean,max,Utility Function mean, max
0.0090,0.0763,0.0715,0.0899,0.0023,0.0067,0.0248,0.0463
0.0020,0.0388,0.0659,0.1147,0.0015,0.0041,0.0389,0.0900
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
