Steering Angle mean,max,Lateral Position mean,max,Heading Angle mean,max,Utility Function mean, max
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0240,0.1313,0.1604,0.2023,0.0531,0.1279,0.0420,0.5940
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0414,0.9045,0.1724,0.2153,0.0581,0.1478,0.0549,0.5940
0.0031,0.0386,0.1071,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0031,0.0390,0.1074,0.2034,0.0030,0.0050,0.0651,0.1793
0.0287,0.1252,0.1367,0.1800,0.0447,0.1122,0.0285,0.1297
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0498,0.2050,0.1814,0.2426,0.0740,0.1658,0.0480,0.2351
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0074,0.1465,0.1443,0.2484,0.0063,0.0238,0.0461,0.2354
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0072,0.0394,0.2491,0.4725,0.0067,0.0115,0.1342,0.3193
0.0074,0.0394,0.2610,0.4946,0.0069,0.0119,0.1378,0.3267
0.0074,0.0394,0.2610,0.4946,0.0069,0.0119,0.1378,0.3267
0.0392,0.2098,0.0132,0.0177,0.0670,0.1750,0.0367,0.2417
0.0074,0.0394,0.0088,0.0166,0.0069,0.0119,0.1378,0.3267
0.0392,0.2098,0.0132,0.0177,0.0670,0.1750,0.0367,0.2417
0.0074,0.0394,0.0088,0.0166,0.0069,0.0119,0.1378,0.3267
0.0392,0.2098,0.0132,0.0177,0.0670,0.1750,0.0367,0.2417
0.0074,0.0394,0.0088,0.0166,0.0069,0.0119,0.1378,0.3267
0.0392,0.2098,0.0132,0.0177,0.0670,0.1750,0.0367,0.2417
0.0074,0.0394,0.0088,0.0166,0.0069,0.0119,0.1378,0.3267
0.0392,0.2098,0.0132,0.0177,0.0670,0.1750,0.0367,0.2417
