v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0466
-0.0524,-0.0356,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0441
-0.0787,-0.0549,0.1988,0.1223,0.1164,0.1000,0.0100,0.0997,-0.0417
-0.0905,-0.0645,0.2983,0.1324,0.1153,0.1000,0.0100,0.0997,-0.0394
-0.0945,-0.0684,0.3978,0.1421,0.1140,0.1000,0.0100,0.0997,-0.0372
-0.0942,-0.0689,0.4974,0.1516,0.1127,0.1000,0.0100,0.0997,-0.0351
-0.0917,-0.0676,0.5969,0.1610,0.1113,0.1000,0.0100,0.0997,-0.0330
-0.0880,-0.0652,0.6965,0.1702,0.1099,0.1000,0.0100,0.0997,-0.0311
-0.0837,-0.0623,0.7961,0.1795,0.1086,0.1000,0.0100,0.0997,-0.0292
-0.0793,-0.0592,0.8957,0.1886,0.1074,0.1000,0.0100,0.0997,-0.0274
-0.0748,-0.0559,0.9953,0.1978,0.1062,0.1000,0.0100,0.0997,-0.0257
-0.0704,-0.0527,1.0949,0.2069,0.1051,0.1000,0.0100,0.0997,-0.0241
-0.0661,-0.0495,1.1945,0.2160,0.1040,0.1000,0.0100,0.0997,-0.0225
-0.0620,-0.0465,1.2941,0.2250,0.1030,0.1000,0.0100,0.0997,-0.0210
-0.0580,-0.0435,1.3937,0.2341,0.1021,0.1000,0.0100,0.0997,-0.0196
-0.0543,-0.0407,1.4933,0.2431,0.1012,0.1000,0.0100,0.0997,-0.0183
-0.0506,-0.0380,1.5929,0.2522,0.1004,0.1000,0.0100,0.0997,-0.0170
-0.0472,-0.0354,1.6925,0.2612,0.0997,0.1000,0.0100,0.0997,-0.0158
-0.0439,-0.0330,1.7921,0.2702,0.0989,0.1000,0.0100,0.0997,-0.0146
-0.0407,-0.0306,1.8917,0.2792,0.0983,0.1000,0.0100,0.0997,-0.0135
-0.0378,-0.0284,1.9913,0.2882,0.0977,0.1000,0.0100,0.0997,-0.0124
-0.0349,-0.0263,2.0909,0.2972,0.0971,0.1000,0.0100,0.0997,-0.0114
-0.0322,-0.0243,2.1905,0.3062,0.0966,0.1000,0.0100,0.0997,-0.0105
-0.0297,-0.0223,2.2901,0.3152,0.0961,0.1000,0.0100,0.0997,-0.0096
-0.0273,-0.0205,2.3897,0.3242,0.0956,0.1000,0.0100,0.0997,-0.0088
-0.0250,-0.0188,2.4893,0.3332,0.0952,0.1000,0.0100,0.0997,-0.0080
-0.0228,-0.0172,2.5889,0.3422,0.0949,0.1000,0.0100,0.0997,-0.0072
-0.0207,-0.0157,2.6884,0.3512,0.0945,0.1000,0.0100,0.0997,-0.0065
-0.0188,-0.0142,2.7880,0.3603,0.0942,0.1000,0.0100,0.0997,-0.0058
-0.0170,-0.0129,2.8876,0.3693,0.0939,0.1000,0.0100,0.0997,-0.0052
-0.0153,-0.0116,2.9872,0.3783,0.0937,0.1000,0.0100,0.0997,-0.0046
-0.0137,-0.0104,3.0868,0.3874,0.0934,0.1000,0.0100,0.0997,-0.0041
-0.0122,-0.0093,3.1864,0.3964,0.0932,0.1000,0.0100,0.0997,-0.0036
-0.0108,-0.0082,3.2860,0.4055,0.0930,0.1000,0.0100,0.0997,-0.0031
-0.0095,-0.0072,3.3856,0.4146,0.0929,0.1000,0.0100,0.0997,-0.0027
-0.0083,-0.0063,3.4852,0.4237,0.0927,0.1000,0.0100,0.0997,-0.0023
-0.0072,-0.0055,3.5848,0.4328,0.0926,0.1000,0.0100,0.0997,-0.0020
-0.0062,-0.0048,3.6843,0.4419,0.0925,0.1000,0.0100,0.0997,-0.0016
-0.0053,-0.0041,3.7839,0.4510,0.0924,0.1000,0.0100,0.0997,-0.0013
-0.0044,-0.0034,3.8835,0.4601,0.0923,0.1000,0.0100,0.0997,-0.0011
-0.0037,-0.0028,3.9831,0.4692,0.0922,0.1000,0.0100,0.0997,-0.0009
-0.0030,-0.0023,4.0827,0.4784,0.0922,0.1000,0.0100,0.0997,-0.0007
-0.0024,-0.0019,4.1822,0.4875,0.0921,0.1000,0.0100,0.0997,-0.0005
-0.0019,-0.0015,4.2818,0.4967,0.0921,0.1000,0.0100,0.0997,-0.0003
-0.0014,-0.0011,4.3814,0.5058,0.0921,0.1000,0.0100,0.0997,-0.0002
-0.0011,-0.0008,4.4810,0.5150,0.0921,0.1000,0.0100,0.0997,-0.0001
-0.0007,-0.0006,4.5806,0.5242,0.0920,0.1000,0.0100,0.0997,-0.0001
-0.0005,-0.0004,4.6801,0.5333,0.0920,0.1000,0.0100,0.0997,-0.0000
-0.0003,-0.0003,4.7797,0.5425,0.0920,0.1000,0.0100,0.0997,0.0000
-0.0002,-0.0002,4.8793,0.5517,0.0920,0.1000,0.0100,0.0997,0.0000
