v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0469
-0.0528,-0.0358,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0398
-0.0741,-0.0518,0.1988,0.1223,0.1164,0.1000,0.0100,0.0997,-0.0358
-0.0814,-0.0581,0.2982,0.1325,0.1154,0.1000,0.0100,0.0997,-0.0332
-0.0825,-0.0599,0.3978,0.1424,0.1142,0.1000,0.0100,0.0997,-0.0313
-0.0809,-0.0594,0.4973,0.1521,0.1130,0.1000,0.0100,0.0997,-0.0297
-0.0783,-0.0578,0.5969,0.1618,0.1118,0.1000,0.0100,0.0997,-0.0283
-0.0752,-0.0558,0.6964,0.1714,0.1107,0.1000,0.0100,0.0997,-0.0270
-0.0720,-0.0536,0.7960,0.1809,0.1095,0.1000,0.0100,0.0997,-0.0257
-0.0689,-0.0513,0.8955,0.1904,0.1085,0.1000,0.0100,0.0997,-0.0245
-0.0658,-0.0491,0.9951,0.1999,0.1075,0.1000,0.0100,0.0997,-0.0234
-0.0628,-0.0469,1.0946,0.2093,0.1065,0.1000,0.0100,0.0997,-0.0223
-0.0598,-0.0447,1.1942,0.2187,0.1055,0.1000,0.0100,0.0997,-0.0212
-0.0570,-0.0426,1.2938,0.2280,0.1046,0.1000,0.0100,0.0997,-0.0202
-0.0543,-0.0406,1.3933,0.2373,0.1038,0.1000,0.0100,0.0997,-0.0192
-0.0517,-0.0387,1.4929,0.2466,0.1030,0.1000,0.0100,0.0997,-0.0183
-0.0492,-0.0368,1.5925,0.2559,0.1022,0.1000,0.0100,0.0997,-0.0173
-0.0468,-0.0350,1.6921,0.2651,0.1015,0.1000,0.0100,0.0997,-0.0165
-0.0445,-0.0333,1.7917,0.2743,0.1008,0.1000,0.0100,0.0997,-0.0156
-0.0422,-0.0316,1.8912,0.2835,0.1001,0.1000,0.0100,0.0997,-0.0148
-0.0400,-0.0300,1.9908,0.2926,0.0995,0.1000,0.0100,0.0997,-0.0140
-0.0380,-0.0284,2.0904,0.3018,0.0989,0.1000,0.0100,0.0997,-0.0133
-0.0360,-0.0269,2.1900,0.3109,0.0983,0.1000,0.0100,0.0997,-0.0125
-0.0340,-0.0255,2.2896,0.3200,0.0978,0.1000,0.0100,0.0997,-0.0118
-0.0322,-0.0241,2.3892,0.3291,0.0973,0.1000,0.0100,0.0997,-0.0112
-0.0304,-0.0228,2.4888,0.3381,0.0968,0.1000,0.0100,0.0997,-0.0105
-0.0287,-0.0215,2.5884,0.3472,0.0963,0.1000,0.0100,0.0997,-0.0099
-0.0270,-0.0203,2.6879,0.3562,0.0959,0.1000,0.0100,0.0997,-0.0093
-0.0255,-0.0191,2.7875,0.3653,0.0955,0.1000,0.0100,0.0997,-0.0087
-0.0239,-0.0180,2.8871,0.3743,0.0951,0.1000,0.0100,0.0997,-0.0082
-0.0225,-0.0169,2.9867,0.3833,0.0947,0.1000,0.0100,0.0997,-0.0077
-0.0211,-0.0158,3.0863,0.3923,0.0944,0.1000,0.0100,0.0997,-0.0072
-0.0197,-0.0148,3.1859,0.4013,0.0941,0.1000,0.0100,0.0997,-0.0067
-0.0185,-0.0138,3.2855,0.4103,0.0938,0.1000,0.0100,0.0997,-0.0062
-0.0172,-0.0129,3.3851,0.4193,0.0935,0.1000,0.0100,0.0997,-0.0058
-0.0160,-0.0120,3.4847,0.4283,0.0933,0.1000,0.0100,0.0997,-0.0053
-0.0149,-0.0112,3.5843,0.4373,0.0930,0.1000,0.0100,0.0997,-0.0049
-0.0138,-0.0104,3.6839,0.4463,0.0928,0.1000,0.0100,0.0997,-0.0045
-0.0127,-0.0096,3.7835,0.4553,0.0926,0.1000,0.0100,0.0997,-0.0042
-0.0117,-0.0088,3.8831,0.4643,0.0924,0.1000,0.0100,0.0997,-0.0038
-0.0108,-0.0081,3.9827,0.4733,0.0922,0.1000,0.0100,0.0997,-0.0035
-0.0099,-0.0074,4.0823,0.4823,0.0920,0.1000,0.0100,0.0997,-0.0031
-0.0090,-0.0068,4.1819,0.4913,0.0919,0.1000,0.0100,0.0997,-0.0028
-0.0081,-0.0062,4.2815,0.5003,0.0918,0.1000,0.0100,0.0997,-0.0025
-0.0073,-0.0056,4.3811,0.5093,0.0916,0.1000,0.0100,0.0997,-0.0022
-0.0066,-0.0050,4.4806,0.5183,0.0915,0.1000,0.0100,0.0997,-0.0020
-0.0058,-0.0044,4.5802,0.5273,0.0914,0.1000,0.0100,0.0997,-0.0017
-0.0051,-0.0039,4.6798,0.5363,0.0913,0.1000,0.0100,0.0997,-0.0014
-0.0045,-0.0034,4.7794,0.5453,0.0913,0.1000,0.0100,0.0997,-0.0012
-0.0038,-0.0029,4.8790,0.5543,0.0912,0.1000,0.0100,0.0997,-0.0010
-0.0032,-0.0025,4.9786,0.5634,0.0911,0.1000,0.0100,0.0997,-0.0008
-0.0026,-0.0020,5.0782,0.5724,0.0911,0.1000,0.0100,0.0997,-0.0006
-0.0021,-0.0016,5.1778,0.5814,0.0910,0.1000,0.0100,0.0997,-0.0004
-0.0016,-0.0012,5.2774,0.5905,0.0910,0.1000,0.0100,0.0997,-0.0002
-0.0011,-0.0009,5.3770,0.5996,0.0910,0.1000,0.0100,0.0997,0.0000
-0.0006,-0.0005,5.4766,0.6086,0.0910,0.1000,0.0100,0.0997,0.0002
-0.0001,-0.0002,5.5761,0.6177,0.0910,0.1000,0.0100,0.0997,0.0003
0.0003,0.0002,5.6757,0.6268,0.0910,0.1000,0.0100,0.0997,0.0005
0.0007,0.0005,5.7753,0.6359,0.0910,0.1000,0.0100,0.0997,0.0006
0.0011,0.0008,5.8749,0.6450,0.0910,0.1000,0.0100,0.0997,0.0008
0.0015,0.0010,5.9745,0.6541,0.0910,0.1000,0.0100,0.0997,0.0009
0.0018,0.0013,6.0741,0.6632,0.0910,0.1000,0.0100,0.0997,0.0010
0.0021,0.0015,6.1737,0.6723,0.0910,0.1000,0.0100,0.0997,0.0011
0.0024,0.0018,6.2732,0.6814,0.0911,0.1000,0.0100,0.0997,0.0012
0.0027,0.0020,6.3728,0.6906,0.0911,0.1000,0.0100,0.0997,0.0013
0.0030,0.0022,6.4724,0.6997,0.0911,0.1000,0.0100,0.0997,0.0014
0.0033,0.0024,6.5720,0.7089,0.0912,0.1000,0.0100,0.0997,0.0015
0.0035,0.0026,6.6716,0.7181,0.0912,0.1000,0.0100,0.0997,0.0016
0.0037,0.0027,6.7711,0.7273,0.0913,0.1000,0.0100,0.0997,0.0017
0.0040,0.0029,6.8707,0.7364,0.0913,0.1000,0.0100,0.0997,0.0017
0.0042,0.0031,6.9703,0.7456,0.0914,0.1000,0.0100,0.0997,0.0018
0.0044,0.0032,7.0699,0.7549,0.0915,0.1000,0.0100,0.0997,0.0019
0.0045,0.0033,7.1694,0.7641,0.0915,0.1000,0.0100,0.0997,0.0019
0.0047,0.0034,7.2690,0.7733,0.0916,0.1000,0.0100,0.0997,0.0020
0.0048,0.0036,7.3686,0.7825,0.0917,0.1000,0.0100,0.0997,0.0020
0.0050,0.0037,7.4682,0.7918,0.0917,0.1000,0.0100,0.0997,0.0021
0.0051,0.0038,7.5677,0.8010,0.0918,0.1000,0.0100,0.0997,0.0021
0.0052,0.0039,7.6673,0.8103,0.0919,0.1000,0.0100,0.0997,0.0022
0.0053,0.0039,7.7669,0.8196,0.0920,0.1000,0.0100,0.0997,0.0022
0.0054,0.0040,7.8664,0.8289,0.0920,0.1000,0.0100,0.0997,0.0022
0.0055,0.0041,7.9660,0.8382,0.0921,0.1000,0.0100,0.0997,0.0023
0.0056,0.0041,8.0656,0.8475,0.0922,0.1000,0.0100,0.0997,0.0023
0.0057,0.0042,8.1651,0.8568,0.0923,0.1000,0.0100,0.0997,0.0023
0.0058,0.0043,8.2647,0.8661,0.0924,0.1000,0.0100,0.0997,0.0023
0.0058,0.0043,8.3643,0.8755,0.0924,0.1000,0.0100,0.0997,0.0023
0.0059,0.0043,8.4638,0.8848,0.0925,0.1000,0.0100,0.0997,0.0024
0.0059,0.0044,8.5634,0.8942,0.0926,0.1000,0.0100,0.0997,0.0024
0.0059,0.0044,8.6629,0.9035,0.0927,0.1000,0.0100,0.0997,0.0024
0.0060,0.0044,8.7625,0.9129,0.0928,0.1000,0.0100,0.0997,0.0024
0.0060,0.0044,8.8621,0.9223,0.0929,0.1000,0.0100,0.0997,0.0024
0.0060,0.0045,8.9616,0.9317,0.0930,0.1000,0.0100,0.0997,0.0024
0.0060,0.0045,9.0612,0.9411,0.0931,0.1000,0.0100,0.0997,0.0024
0.0061,0.0045,9.1607,0.9505,0.0932,0.1000,0.0100,0.0997,0.0024
0.0061,0.0045,9.2603,0.9599,0.0932,0.1000,0.0100,0.0997,0.0024
0.0061,0.0045,9.3598,0.9694,0.0933,0.1000,0.0100,0.0997,0.0024
0.0061,0.0045,9.4594,0.9788,0.0934,0.1000,0.0100,0.0997,0.0024
0.0060,0.0045,9.5589,0.9883,0.0935,0.1000,0.0100,0.0997,0.0024
