v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0466
-0.0524,-0.0356,0.0993,0.1117,0.1171,0.2000,0.0200,0.0996,-0.0445
-0.0791,-0.0552,0.1988,0.1223,0.1164,0.3000,0.0300,0.0996,-0.0424
-0.0916,-0.0652,0.2983,0.1324,0.1153,0.4000,0.0400,0.0996,-0.0405
-0.0962,-0.0696,0.3978,0.1421,0.1140,0.5000,0.0500,0.0995,-0.0386
-0.0967,-0.0707,0.4974,0.1515,0.1126,0.6000,0.0600,0.0995,-0.0367
-0.0949,-0.0699,0.5970,0.1608,0.1112,0.7000,0.0699,0.0994,-0.0350
-0.0920,-0.0681,0.6966,0.1700,0.1098,0.8000,0.0799,0.0994,-0.0333
-0.0885,-0.0657,0.7962,0.1792,0.1084,0.9000,0.0899,0.0993,-0.0318
-0.0848,-0.0631,0.8958,0.1882,0.1071,1.0000,0.0998,0.0992,-0.0302
-0.0810,-0.0604,0.9954,0.1972,0.1059,1.1000,0.1098,0.0991,-0.0288
-0.0773,-0.0577,1.0950,0.2062,0.1047,1.2000,0.1197,0.0990,-0.0274
-0.0737,-0.0550,1.1946,0.2151,0.1035,1.3000,0.1296,0.0988,-0.0261
-0.0702,-0.0524,1.2942,0.2240,0.1024,1.4000,0.1395,0.0987,-0.0248
-0.0668,-0.0500,1.3938,0.2328,0.1014,1.5000,0.1494,0.0986,-0.0236
-0.0636,-0.0476,1.4934,0.2416,0.1004,1.6000,0.1593,0.0984,-0.0225
-0.0606,-0.0453,1.5931,0.2503,0.0994,1.7000,0.1692,0.0982,-0.0214
-0.0577,-0.0431,1.6927,0.2591,0.0985,1.8000,0.1790,0.0981,-0.0204
-0.0549,-0.0411,1.7923,0.2677,0.0976,1.9000,0.1889,0.0979,-0.0194
-0.0523,-0.0391,1.8920,0.2764,0.0968,2.0000,0.1987,0.0977,-0.0185
-0.0498,-0.0372,1.9916,0.2850,0.0960,2.1000,0.2085,0.0975,-0.0176
-0.0475,-0.0355,2.0912,0.2936,0.0953,2.2000,0.2182,0.0973,-0.0168
-0.0452,-0.0338,2.1909,0.3022,0.0946,2.3000,0.2280,0.0971,-0.0160
-0.0431,-0.0322,2.2905,0.3107,0.0939,2.4000,0.2377,0.0968,-0.0153
-0.0411,-0.0308,2.3901,0.3193,0.0933,2.5000,0.2474,0.0966,-0.0146
-0.0393,-0.0293,2.4898,0.3277,0.0926,2.6000,0.2571,0.0963,-0.0140
-0.0375,-0.0280,2.5894,0.3362,0.0921,2.7000,0.2667,0.0961,-0.0134
-0.0358,-0.0268,2.6891,0.3447,0.0915,2.8000,0.2764,0.0958,-0.0128
-0.0343,-0.0256,2.7887,0.3531,0.0910,2.9000,0.2860,0.0955,-0.0123
-0.0328,-0.0245,2.8884,0.3615,0.0904,3.0000,0.2955,0.0952,-0.0118
-0.0315,-0.0235,2.9880,0.3699,0.0900,3.1000,0.3051,0.0949,-0.0113
-0.0302,-0.0226,3.0877,0.3782,0.0895,3.2000,0.3146,0.0946,-0.0109
-0.0290,-0.0217,3.1873,0.3865,0.0890,3.3000,0.3240,0.0943,-0.0105
-0.0279,-0.0208,3.2870,0.3949,0.0886,3.4000,0.3335,0.0940,-0.0102
-0.0269,-0.0201,3.3866,0.4032,0.0882,3.5000,0.3429,0.0937,-0.0098
-0.0260,-0.0194,3.4863,0.4114,0.0878,3.6000,0.3523,0.0933,-0.0095
-0.0251,-0.0187,3.5860,0.4197,0.0874,3.7000,0.3616,0.0930,-0.0093
-0.0244,-0.0182,3.6856,0.4279,0.0870,3.8000,0.3709,0.0926,-0.0090
-0.0236,-0.0176,3.7853,0.4361,0.0867,3.9000,0.3802,0.0922,-0.0088
-0.0230,-0.0171,3.8850,0.4443,0.0863,4.0000,0.3894,0.0918,-0.0086
-0.0224,-0.0167,3.9846,0.4524,0.0860,4.1000,0.3986,0.0915,-0.0084
-0.0219,-0.0163,4.0843,0.4606,0.0856,4.2000,0.4078,0.0911,-0.0083
-0.0214,-0.0159,4.1840,0.4687,0.0853,4.3000,0.4169,0.0906,-0.0081
-0.0210,-0.0156,4.2836,0.4768,0.0850,4.4000,0.4259,0.0902,-0.0080
-0.0207,-0.0154,4.3833,0.4849,0.0847,4.5000,0.4350,0.0898,-0.0079
-0.0204,-0.0152,4.4830,0.4929,0.0844,4.6000,0.4439,0.0894,-0.0079
-0.0202,-0.0150,4.5827,0.5009,0.0841,4.7000,0.4529,0.0889,-0.0078
-0.0200,-0.0148,4.6823,0.5089,0.0838,4.8000,0.4618,0.0885,-0.0078
-0.0198,-0.0147,4.7820,0.5169,0.0835,4.9000,0.4706,0.0880,-0.0078
-0.0197,-0.0146,4.8817,0.5248,0.0832,5.0000,0.4794,0.0875,-0.0078
-0.0197,-0.0146,4.9814,0.5327,0.0829,5.1000,0.4882,0.0871,-0.0078
