v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0536
-0.0604,-0.0409,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0509
-0.0907,-0.0632,0.1988,0.1222,0.1163,0.1000,0.0100,0.0997,-0.0482
-0.1045,-0.0744,0.2983,0.1320,0.1150,0.1000,0.0100,0.0997,-0.0456
-0.1092,-0.0790,0.3979,0.1414,0.1136,0.1000,0.0100,0.0997,-0.0431
-0.1090,-0.0797,0.4975,0.1505,0.1120,0.1000,0.0100,0.0997,-0.0408
-0.1063,-0.0783,0.5971,0.1595,0.1104,0.1000,0.0100,0.0997,-0.0385
-0.1022,-0.0757,0.6967,0.1684,0.1088,0.1000,0.0100,0.0997,-0.0363
-0.0975,-0.0725,0.7964,0.1773,0.1073,0.1000,0.0100,0.0997,-0.0342
-0.0925,-0.0690,0.8960,0.1860,0.1058,0.1000,0.0100,0.0997,-0.0322
-0.0875,-0.0653,0.9956,0.1948,0.1045,0.1000,0.0100,0.0997,-0.0303
-0.0825,-0.0617,1.0953,0.2035,0.1032,0.1000,0.0100,0.0997,-0.0284
-0.0777,-0.0582,1.1949,0.2121,0.1019,0.1000,0.0100,0.0997,-0.0267
-0.0731,-0.0547,1.2945,0.2207,0.1008,0.1000,0.0100,0.0997,-0.0250
-0.0686,-0.0514,1.3942,0.2294,0.0997,0.1000,0.0100,0.0997,-0.0234
-0.0643,-0.0482,1.4938,0.2379,0.0986,0.1000,0.0100,0.0997,-0.0218
-0.0602,-0.0452,1.5935,0.2465,0.0977,0.1000,0.0100,0.0997,-0.0204
-0.0563,-0.0422,1.6931,0.2551,0.0968,0.1000,0.0100,0.0997,-0.0190
-0.0525,-0.0394,1.7927,0.2636,0.0959,0.1000,0.0100,0.0997,-0.0176
-0.0489,-0.0367,1.8924,0.2721,0.0951,0.1000,0.0100,0.0997,-0.0163
-0.0455,-0.0342,1.9920,0.2807,0.0944,0.1000,0.0100,0.0997,-0.0151
-0.0422,-0.0318,2.0917,0.2892,0.0937,0.1000,0.0100,0.0997,-0.0140
-0.0391,-0.0294,2.1913,0.2977,0.0931,0.1000,0.0100,0.0997,-0.0129
-0.0362,-0.0272,2.2910,0.3062,0.0925,0.1000,0.0100,0.0997,-0.0118
-0.0333,-0.0251,2.3906,0.3147,0.0920,0.1000,0.0100,0.0997,-0.0108
-0.0306,-0.0231,2.4902,0.3232,0.0914,0.1000,0.0100,0.0997,-0.0099
-0.0281,-0.0212,2.5899,0.3318,0.0910,0.1000,0.0100,0.0997,-0.0090
-0.0256,-0.0193,2.6895,0.3403,0.0906,0.1000,0.0100,0.0997,-0.0081
-0.0233,-0.0176,2.7891,0.3488,0.0902,0.1000,0.0100,0.0997,-0.0073
-0.0211,-0.0160,2.8888,0.3574,0.0898,0.1000,0.0100,0.0997,-0.0065
-0.0190,-0.0144,2.9884,0.3659,0.0895,0.1000,0.0100,0.0997,-0.0058
-0.0170,-0.0129,3.0880,0.3745,0.0892,0.1000,0.0100,0.0997,-0.0051
-0.0152,-0.0115,3.1877,0.3830,0.0890,0.1000,0.0100,0.0997,-0.0044
-0.0134,-0.0102,3.2873,0.3916,0.0887,0.1000,0.0100,0.0997,-0.0038
-0.0117,-0.0089,3.3869,0.4002,0.0885,0.1000,0.0100,0.0997,-0.0032
-0.0101,-0.0077,3.4866,0.4088,0.0883,0.1000,0.0100,0.0997,-0.0026
-0.0086,-0.0066,3.5862,0.4175,0.0882,0.1000,0.0100,0.0997,-0.0021
-0.0071,-0.0055,3.6858,0.4261,0.0881,0.1000,0.0100,0.0997,-0.0016
-0.0058,-0.0045,3.7854,0.4347,0.0880,0.1000,0.0100,0.0997,-0.0012
-0.0045,-0.0035,3.8851,0.4434,0.0879,0.1000,0.0100,0.0997,-0.0007
-0.0033,-0.0026,3.9847,0.4521,0.0878,0.1000,0.0100,0.0997,-0.0003
-0.0022,-0.0018,4.0843,0.4608,0.0877,0.1000,0.0100,0.0997,0.0001
-0.0011,-0.0010,4.1839,0.4695,0.0877,0.1000,0.0100,0.0997,0.0005
-0.0001,-0.0002,4.2836,0.4783,0.0877,0.1000,0.0100,0.0997,0.0008
0.0008,0.0005,4.3832,0.4870,0.0877,0.1000,0.0100,0.0997,0.0011
0.0017,0.0011,4.4828,0.4958,0.0877,0.1000,0.0100,0.0997,0.0014
0.0025,0.0018,4.5824,0.5046,0.0877,0.1000,0.0100,0.0997,0.0017
0.0033,0.0023,4.6820,0.5134,0.0877,0.1000,0.0100,0.0997,0.0020
0.0040,0.0029,4.7816,0.5222,0.0878,0.1000,0.0100,0.0997,0.0022
0.0047,0.0034,4.8812,0.5311,0.0879,0.1000,0.0100,0.0997,0.0024
0.0053,0.0039,4.9808,0.5399,0.0879,0.1000,0.0100,0.0997,0.0026
0.0059,0.0043,5.0804,0.5488,0.0880,0.1000,0.0100,0.0997,0.0028
0.0065,0.0047,5.1800,0.5577,0.0881,0.1000,0.0100,0.0997,0.0030
0.0070,0.0051,5.2796,0.5667,0.0882,0.1000,0.0100,0.0997,0.0032
0.0074,0.0054,5.3792,0.5756,0.0883,0.1000,0.0100,0.0997,0.0033
0.0078,0.0057,5.4788,0.5846,0.0884,0.1000,0.0100,0.0997,0.0035
0.0082,0.0060,5.5784,0.5936,0.0885,0.1000,0.0100,0.0997,0.0036
0.0086,0.0063,5.6780,0.6026,0.0886,0.1000,0.0100,0.0997,0.0037
0.0089,0.0065,5.7776,0.6116,0.0888,0.1000,0.0100,0.0997,0.0038
0.0092,0.0068,5.8772,0.6206,0.0889,0.1000,0.0100,0.0997,0.0039
0.0095,0.0070,5.9768,0.6297,0.0890,0.1000,0.0100,0.0997,0.0040
0.0097,0.0071,6.0764,0.6388,0.0892,0.1000,0.0100,0.0997,0.0040
0.0099,0.0073,6.1760,0.6479,0.0893,0.1000,0.0100,0.0997,0.0041
0.0101,0.0074,6.2756,0.6570,0.0894,0.1000,0.0100,0.0997,0.0041
0.0103,0.0076,6.3751,0.6661,0.0896,0.1000,0.0100,0.0997,0.0042
0.0104,0.0077,6.4747,0.6753,0.0897,0.1000,0.0100,0.0997,0.0042
0.0105,0.0078,6.5743,0.6844,0.0899,0.1000,0.0100,0.0997,0.0043
0.0106,0.0078,6.6739,0.6936,0.0901,0.1000,0.0100,0.0997,0.0043
0.0107,0.0079,6.7734,0.7028,0.0902,0.1000,0.0100,0.0997,0.0043
0.0108,0.0080,6.8730,0.7120,0.0904,0.1000,0.0100,0.0997,0.0043
0.0108,0.0080,6.9726,0.7213,0.0905,0.1000,0.0100,0.0997,0.0043
0.0108,0.0080,7.0722,0.7305,0.0907,0.1000,0.0100,0.0997,0.0043
0.0109,0.0080,7.1717,0.7398,0.0908,0.1000,0.0100,0.0997,0.0043
0.0109,0.0080,7.2713,0.7491,0.0910,0.1000,0.0100,0.0997,0.0043
0.0109,0.0080,7.3709,0.7584,0.0912,0.1000,0.0100,0.0997,0.0043
0.0108,0.0080,7.4704,0.7677,0.0913,0.1000,0.0100,0.0997,0.0043
0.0108,0.0080,7.5700,0.7771,0.0915,0.1000,0.0100,0.0997,0.0042
0.0108,0.0080,7.6696,0.7864,0.0917,0.1000,0.0100,0.0997,0.0042
0.0107,0.0079,7.7691,0.7958,0.0918,0.1000,0.0100,0.0997,0.0042
0.0106,0.0079,7.8687,0.8052,0.0920,0.1000,0.0100,0.0997,0.0042
0.0106,0.0078,7.9682,0.8145,0.0921,0.1000,0.0100,0.0997,0.0041
0.0105,0.0078,8.0678,0.8240,0.0923,0.1000,0.0100,0.0997,0.0041
0.0104,0.0077,8.1673,0.8334,0.0924,0.1000,0.0100,0.0997,0.0040
0.0103,0.0076,8.2669,0.8428,0.0926,0.1000,0.0100,0.0997,0.0040
0.0102,0.0076,8.3665,0.8523,0.0927,0.1000,0.0100,0.0997,0.0039
0.0101,0.0075,8.4660,0.8617,0.0929,0.1000,0.0100,0.0997,0.0039
0.0100,0.0074,8.5656,0.8712,0.0930,0.1000,0.0100,0.0997,0.0038
0.0099,0.0073,8.6651,0.8807,0.0932,0.1000,0.0100,0.0997,0.0038
0.0097,0.0072,8.7647,0.8902,0.0933,0.1000,0.0100,0.0997,0.0037
0.0096,0.0071,8.8642,0.8997,0.0935,0.1000,0.0100,0.0997,0.0037
