v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0493
-0.0555,-0.0376,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0467
-0.0833,-0.0581,0.1988,0.1223,0.1164,0.1000,0.0100,0.0997,-0.0442
-0.0959,-0.0683,0.2983,0.1322,0.1152,0.1000,0.0100,0.0997,-0.0418
-0.1001,-0.0724,0.3978,0.1418,0.1138,0.1000,0.0100,0.0997,-0.0395
-0.0999,-0.0731,0.4974,0.1512,0.1124,0.1000,0.0100,0.0997,-0.0373
-0.0973,-0.0717,0.5970,0.1604,0.1109,0.1000,0.0100,0.0997,-0.0351
-0.0935,-0.0693,0.6966,0.1696,0.1095,0.1000,0.0100,0.0997,-0.0331
-0.0891,-0.0663,0.7962,0.1786,0.1081,0.1000,0.0100,0.0997,-0.0312
-0.0844,-0.0630,0.8958,0.1876,0.1068,0.1000,0.0100,0.0997,-0.0293
-0.0797,-0.0596,0.9954,0.1966,0.1055,0.1000,0.0100,0.0997,-0.0275
-0.0752,-0.0562,1.0950,0.2056,0.1043,0.1000,0.0100,0.0997,-0.0258
-0.0707,-0.0529,1.1947,0.2145,0.1032,0.1000,0.0100,0.0997,-0.0242
-0.0664,-0.0498,1.2943,0.2234,0.1022,0.1000,0.0100,0.0997,-0.0226
-0.0622,-0.0467,1.3939,0.2323,0.1012,0.1000,0.0100,0.0997,-0.0211
-0.0583,-0.0437,1.4935,0.2411,0.1002,0.1000,0.0100,0.0997,-0.0197
-0.0545,-0.0409,1.5931,0.2500,0.0994,0.1000,0.0100,0.0997,-0.0184
-0.0509,-0.0382,1.6927,0.2588,0.0985,0.1000,0.0100,0.0997,-0.0171
-0.0474,-0.0356,1.7923,0.2676,0.0978,0.1000,0.0100,0.0997,-0.0159
-0.0441,-0.0332,1.8920,0.2764,0.0971,0.1000,0.0100,0.0997,-0.0147
-0.0410,-0.0308,1.9916,0.2853,0.0964,0.1000,0.0100,0.0997,-0.0136
-0.0380,-0.0286,2.0912,0.2941,0.0958,0.1000,0.0100,0.0997,-0.0125
-0.0352,-0.0265,2.1908,0.3029,0.0952,0.1000,0.0100,0.0997,-0.0116
-0.0325,-0.0245,2.2904,0.3117,0.0947,0.1000,0.0100,0.0997,-0.0106
-0.0300,-0.0226,2.3900,0.3205,0.0942,0.1000,0.0100,0.0997,-0.0097
-0.0275,-0.0207,2.4896,0.3293,0.0937,0.1000,0.0100,0.0997,-0.0089
-0.0252,-0.0190,2.5893,0.3381,0.0933,0.1000,0.0100,0.0997,-0.0081
-0.0231,-0.0174,2.6889,0.3469,0.0929,0.1000,0.0100,0.0997,-0.0073
-0.0210,-0.0159,2.7885,0.3557,0.0926,0.1000,0.0100,0.0997,-0.0066
-0.0191,-0.0144,2.8881,0.3646,0.0923,0.1000,0.0100,0.0997,-0.0059
-0.0173,-0.0130,2.9877,0.3734,0.0920,0.1000,0.0100,0.0997,-0.0053
-0.0155,-0.0118,3.0873,0.3822,0.0917,0.1000,0.0100,0.0997,-0.0047
-0.0139,-0.0105,3.1869,0.3911,0.0915,0.1000,0.0100,0.0997,-0.0042
-0.0124,-0.0094,3.2865,0.4000,0.0913,0.1000,0.0100,0.0997,-0.0037
-0.0110,-0.0083,3.3861,0.4088,0.0911,0.1000,0.0100,0.0997,-0.0032
-0.0097,-0.0074,3.4857,0.4177,0.0909,0.1000,0.0100,0.0997,-0.0027
-0.0084,-0.0064,3.5853,0.4266,0.0908,0.1000,0.0100,0.0997,-0.0023
-0.0073,-0.0056,3.6849,0.4355,0.0906,0.1000,0.0100,0.0997,-0.0020
-0.0062,-0.0048,3.7845,0.4444,0.0905,0.1000,0.0100,0.0997,-0.0016
-0.0053,-0.0041,3.8841,0.4533,0.0904,0.1000,0.0100,0.0997,-0.0013
-0.0044,-0.0034,3.9837,0.4622,0.0904,0.1000,0.0100,0.0997,-0.0010
-0.0036,-0.0028,4.0833,0.4712,0.0903,0.1000,0.0100,0.0997,-0.0008
-0.0028,-0.0022,4.1829,0.4801,0.0902,0.1000,0.0100,0.0997,-0.0005
-0.0022,-0.0017,4.2825,0.4891,0.0902,0.1000,0.0100,0.0997,-0.0003
-0.0016,-0.0013,4.3821,0.4980,0.0902,0.1000,0.0100,0.0997,-0.0002
-0.0011,-0.0009,4.4817,0.5070,0.0901,0.1000,0.0100,0.0997,-0.0000
-0.0006,-0.0005,4.5813,0.5160,0.0901,0.1000,0.0100,0.0997,0.0001
-0.0002,-0.0002,4.6809,0.5250,0.0901,0.1000,0.0100,0.0997,0.0002
0.0001,0.0000,4.7805,0.5340,0.0901,0.1000,0.0100,0.0997,0.0003
0.0004,0.0002,4.8801,0.5430,0.0901,0.1000,0.0100,0.0997,0.0003
0.0006,0.0004,4.9797,0.5520,0.0901,0.1000,0.0100,0.0997,0.0003
0.0007,0.0005,5.0793,0.5610,0.0901,0.1000,0.0100,0.0997,0.0003
0.0008,0.0006,5.1789,0.5700,0.0901,0.1000,0.0100,0.0997,0.0003
0.0008,0.0006,5.2785,0.5790,0.0901,0.1000,0.0100,0.0997,0.0003
0.0008,0.0006,5.3781,0.5880,0.0901,0.1000,0.0100,0.0997,0.0002
0.0007,0.0005,5.4777,0.5970,0.0902,0.1000,0.0100,0.0997,0.0002
0.0006,0.0004,5.5773,0.6061,0.0902,0.1000,0.0100,0.0997,0.0001
0.0004,0.0003,5.6769,0.6151,0.0902,0.1000,0.0100,0.0997,0.0000
0.0003,0.0002,5.7765,0.6241,0.0902,0.1000,0.0100,0.0997,-0.0000
0.0002,0.0001,5.8760,0.6331,0.0902,0.1000,0.0100,0.0997,-0.0000
