v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0226
-0.0255,-0.0173,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0209
-0.0376,-0.0262,0.1987,0.1229,0.1168,0.1000,0.0100,0.0997,-0.0192
-0.0424,-0.0302,0.2981,0.1338,0.1163,0.1000,0.0100,0.0997,-0.0175
-0.0432,-0.0313,0.3975,0.1445,0.1156,0.1000,0.0100,0.0997,-0.0159
-0.0418,-0.0307,0.4970,0.1552,0.1150,0.1000,0.0100,0.0997,-0.0144
-0.0393,-0.0291,0.5964,0.1659,0.1144,0.1000,0.0100,0.0997,-0.0129
-0.0363,-0.0271,0.6958,0.1765,0.1138,0.1000,0.0100,0.0997,-0.0114
-0.0330,-0.0247,0.7953,0.1871,0.1133,0.1000,0.0100,0.0997,-0.0101
-0.0296,-0.0223,0.8947,0.1978,0.1128,0.1000,0.0100,0.0997,-0.0087
-0.0262,-0.0198,0.9941,0.2084,0.1123,0.1000,0.0100,0.0997,-0.0075
-0.0229,-0.0174,1.0936,0.2191,0.1119,0.1000,0.0100,0.0997,-0.0062
-0.0197,-0.0150,1.1930,0.2298,0.1116,0.1000,0.0100,0.0997,-0.0051
-0.0166,-0.0128,1.2924,0.2406,0.1113,0.1000,0.0100,0.0997,-0.0040
-0.0137,-0.0106,1.3918,0.2514,0.1110,0.1000,0.0100,0.0997,-0.0029
-0.0109,-0.0085,1.4912,0.2622,0.1108,0.1000,0.0100,0.0997,-0.0020
-0.0082,-0.0065,1.5906,0.2730,0.1107,0.1000,0.0100,0.0997,-0.0011
-0.0058,-0.0047,1.6900,0.2839,0.1105,0.1000,0.0100,0.0997,-0.0004
-0.0037,-0.0031,1.7895,0.2948,0.1104,0.1000,0.0100,0.0997,0.0000
-0.0021,-0.0018,1.8888,0.3058,0.1104,0.1000,0.0100,0.0997,0.0000
