v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.1000,0.1171,0.1000,0.0100,0.0997,-0.0530
-0.0597,-0.0405,0.0993,0.1117,0.1171,0.1000,0.0100,0.0997,-0.0503
-0.0896,-0.0625,0.1988,0.1222,0.1163,0.1000,0.0100,0.0997,-0.0476
-0.1032,-0.0735,0.2983,0.1320,0.1151,0.1000,0.0100,0.0997,-0.0451
-0.1079,-0.0780,0.3979,0.1414,0.1136,0.1000,0.0100,0.0997,-0.0426
-0.1077,-0.0788,0.4975,0.1506,0.1120,0.1000,0.0100,0.0997,-0.0402
-0.1050,-0.0774,0.5971,0.1597,0.1105,0.1000,0.0100,0.0997,-0.0380
-0.1009,-0.0748,0.6967,0.1686,0.1089,0.1000,0.0100,0.0997,-0.0358
-0.0962,-0.0716,0.7963,0.1775,0.1074,0.1000,0.0100,0.0997,-0.0337
-0.0913,-0.0681,0.8960,0.1863,0.1060,0.1000,0.0100,0.0997,-0.0317
-0.0863,-0.0645,0.9956,0.1950,0.1046,0.1000,0.0100,0.0997,-0.0298
-0.0814,-0.0609,1.0952,0.2038,0.1033,0.1000,0.0100,0.0997,-0.0280
-0.0766,-0.0574,1.1949,0.2125,0.1021,0.1000,0.0100,0.0997,-0.0263
-0.0720,-0.0540,1.2945,0.2211,0.1010,0.1000,0.0100,0.0997,-0.0246
-0.0676,-0.0507,1.3941,0.2298,0.0999,0.1000,0.0100,0.0997,-0.0230
-0.0634,-0.0475,1.4938,0.2384,0.0989,0.1000,0.0100,0.0997,-0.0215
-0.0593,-0.0445,1.5934,0.2470,0.0979,0.1000,0.0100,0.0997,-0.0200
-0.0554,-0.0416,1.6931,0.2556,0.0970,0.1000,0.0100,0.0997,-0.0187
-0.0517,-0.0388,1.7927,0.2642,0.0962,0.1000,0.0100,0.0997,-0.0173
-0.0482,-0.0362,1.8923,0.2728,0.0954,0.1000,0.0100,0.0997,-0.0161
-0.0448,-0.0336,1.9920,0.2813,0.0947,0.1000,0.0100,0.0997,-0.0149
-0.0415,-0.0312,2.0916,0.2899,0.0940,0.1000,0.0100,0.0997,-0.0137
-0.0385,-0.0289,2.1912,0.2985,0.0934,0.1000,0.0100,0.0997,-0.0126
-0.0355,-0.0267,2.2909,0.3070,0.0928,0.1000,0.0100,0.0997,-0.0116
-0.0327,-0.0246,2.3905,0.3156,0.0923,0.1000,0.0100,0.0997,-0.0106
-0.0301,-0.0227,2.4901,0.3241,0.0918,0.1000,0.0100,0.0997,-0.0097
-0.0275,-0.0208,2.5898,0.3327,0.0913,0.1000,0.0100,0.0997,-0.0088
-0.0251,-0.0190,2.6894,0.3413,0.0909,0.1000,0.0100,0.0997,-0.0079
-0.0229,-0.0173,2.7890,0.3499,0.0905,0.1000,0.0100,0.0997,-0.0071
-0.0207,-0.0156,2.8887,0.3585,0.0902,0.1000,0.0100,0.0997,-0.0064
-0.0186,-0.0141,2.9883,0.3670,0.0899,0.1000,0.0100,0.0997,-0.0056
-0.0167,-0.0126,3.0879,0.3757,0.0896,0.1000,0.0100,0.0997,-0.0050
-0.0148,-0.0112,3.1876,0.3843,0.0894,0.1000,0.0100,0.0997,-0.0043
-0.0131,-0.0099,3.2872,0.3929,0.0891,0.1000,0.0100,0.0997,-0.0037
-0.0114,-0.0087,3.3868,0.4015,0.0889,0.1000,0.0100,0.0997,-0.0031
-0.0098,-0.0075,3.4864,0.4102,0.0888,0.1000,0.0100,0.0997,-0.0026
-0.0083,-0.0064,3.5861,0.4189,0.0886,0.1000,0.0100,0.0997,-0.0021
-0.0069,-0.0053,3.6857,0.4275,0.0885,0.1000,0.0100,0.0997,-0.0016
-0.0056,-0.0044,3.7853,0.4362,0.0884,0.1000,0.0100,0.0997,-0.0011
-0.0044,-0.0034,3.8849,0.4450,0.0883,0.1000,0.0100,0.0997,-0.0007
-0.0032,-0.0025,3.9845,0.4537,0.0882,0.1000,0.0100,0.0997,-0.0003
-0.0021,-0.0017,4.0842,0.4624,0.0882,0.1000,0.0100,0.0997,0.0001
-0.0011,-0.0010,4.1838,0.4712,0.0881,0.1000,0.0100,0.0997,0.0004
-0.0001,-0.0002,4.2834,0.4800,0.0881,0.1000,0.0100,0.0997,0.0008
0.0008,0.0004,4.3830,0.4888,0.0881,0.1000,0.0100,0.0997,0.0011
0.0016,0.0011,4.4826,0.4976,0.0881,0.1000,0.0100,0.0997,0.0013
0.0024,0.0017,4.5822,0.5064,0.0881,0.1000,0.0100,0.0997,0.0016
0.0031,0.0022,4.6818,0.5153,0.0882,0.1000,0.0100,0.0997,0.0018
0.0038,0.0027,4.7814,0.5241,0.0882,0.1000,0.0100,0.0997,0.0021
0.0044,0.0032,4.8810,0.5330,0.0883,0.1000,0.0100,0.0997,0.0023
0.0050,0.0036,4.9806,0.5419,0.0883,0.1000,0.0100,0.0997,0.0025
0.0056,0.0040,5.0802,0.5509,0.0884,0.1000,0.0100,0.0997,0.0026
0.0060,0.0044,5.1798,0.5598,0.0885,0.1000,0.0100,0.0997,0.0028
0.0065,0.0047,5.2794,0.5688,0.0886,0.1000,0.0100,0.0997,0.0029
0.0069,0.0050,5.3790,0.5777,0.0887,0.1000,0.0100,0.0997,0.0031
0.0073,0.0053,5.4786,0.5867,0.0888,0.1000,0.0100,0.0997,0.0032
0.0076,0.0056,5.5782,0.5957,0.0889,0.1000,0.0100,0.0997,0.0033
0.0079,0.0058,5.6778,0.6048,0.0890,0.1000,0.0100,0.0997,0.0033
0.0081,0.0060,5.7774,0.6138,0.0891,0.1000,0.0100,0.0997,0.0034
0.0084,0.0062,5.8770,0.6229,0.0892,0.1000,0.0100,0.0997,0.0035
0.0085,0.0063,5.9766,0.6319,0.0893,0.1000,0.0100,0.0997,0.0035
0.0087,0.0064,6.0762,0.6410,0.0895,0.1000,0.0100,0.0997,0.0036
0.0088,0.0065,6.1758,0.6501,0.0896,0.1000,0.0100,0.0997,0.0036
0.0089,0.0066,6.2753,0.6593,0.0897,0.1000,0.0100,0.0997,0.0036
0.0090,0.0067,6.3749,0.6684,0.0899,0.1000,0.0100,0.0997,0.0036
0.0091,0.0067,6.4745,0.6776,0.0900,0.1000,0.0100,0.0997,0.0036
0.0091,0.0067,6.5741,0.6867,0.0901,0.1000,0.0100,0.0997,0.0036
0.0091,0.0067,6.6737,0.6959,0.0903,0.1000,0.0100,0.0997,0.0036
0.0091,0.0067,6.7732,0.7051,0.0904,0.1000,0.0100,0.0997,0.0036
0.0090,0.0067,6.8728,0.7143,0.0905,0.1000,0.0100,0.0997,0.0035
0.0090,0.0066,6.9724,0.7235,0.0907,0.1000,0.0100,0.0997,0.0035
0.0089,0.0066,7.0720,0.7328,0.0908,0.1000,0.0100,0.0997,0.0034
0.0088,0.0065,7.1715,0.7420,0.0909,0.1000,0.0100,0.0997,0.0034
0.0087,0.0064,7.2711,0.7513,0.0911,0.1000,0.0100,0.0997,0.0033
0.0085,0.0063,7.3707,0.7605,0.0912,0.1000,0.0100,0.0997,0.0032
0.0083,0.0062,7.4702,0.7698,0.0913,0.1000,0.0100,0.0997,0.0031
0.0082,0.0061,7.5698,0.7791,0.0914,0.1000,0.0100,0.0997,0.0031
0.0080,0.0059,7.6694,0.7884,0.0916,0.1000,0.0100,0.0997,0.0030
0.0078,0.0058,7.7689,0.7977,0.0917,0.1000,0.0100,0.0997,0.0029
0.0075,0.0056,7.8685,0.8070,0.0918,0.1000,0.0100,0.0997,0.0028
0.0073,0.0054,7.9681,0.8163,0.0919,0.1000,0.0100,0.0997,0.0027
0.0070,0.0052,8.0676,0.8256,0.0920,0.1000,0.0100,0.0997,0.0025
0.0067,0.0050,8.1672,0.8350,0.0921,0.1000,0.0100,0.0997,0.0024
0.0065,0.0048,8.2668,0.8443,0.0922,0.1000,0.0100,0.0997,0.0023
0.0062,0.0046,8.3663,0.8536,0.0923,0.1000,0.0100,0.0997,0.0022
0.0058,0.0044,8.4659,0.8630,0.0924,0.1000,0.0100,0.0997,0.0020
0.0055,0.0041,8.5655,0.8723,0.0925,0.1000,0.0100,0.0997,0.0019
0.0051,0.0039,8.6650,0.8817,0.0926,0.1000,0.0100,0.0997,0.0017
0.0048,0.0036,8.7646,0.8910,0.0927,0.1000,0.0100,0.0997,0.0016
0.0044,0.0033,8.8641,0.9004,0.0927,0.1000,0.0100,0.0997,0.0014
0.0040,0.0030,8.9637,0.9097,0.0928,0.1000,0.0100,0.0997,0.0012
0.0036,0.0027,9.0633,0.9191,0.0929,0.1000,0.0100,0.0997,0.0011
0.0032,0.0024,9.1628,0.9284,0.0929,0.1000,0.0100,0.0997,0.0009
0.0028,0.0021,9.2624,0.9378,0.0930,0.1000,0.0100,0.0997,0.0007
0.0023,0.0018,9.3620,0.9471,0.0930,0.1000,0.0100,0.0997,0.0005
0.0019,0.0015,9.4615,0.9564,0.0930,0.1000,0.0100,0.0997,0.0004
0.0015,0.0011,9.5611,0.9658,0.0931,0.1000,0.0100,0.0997,0.0002
0.0011,0.0008,9.6606,0.9751,0.0931,0.1000,0.0100,0.0997,0.0001
0.0007,0.0006,9.7602,0.9844,0.0931,0.1000,0.0100,0.0997,-0.0000
0.0004,0.0003,9.8598,0.9937,0.0931,0.1000,0.0100,0.0997,-0.0000
